End station,Start station
Кольцевая_Комсомольская,Кольцевая_Курская
Люблинская_Чкаловская,Кольцевая_Курская
Кольцевая_Проспект_Мира,Кольцевая_Комсомольская
Кольцевая_Новослободская,Кольцевая_Проспект_Мира
Калужско-Рижская_Проспект_Мира,Кольцевая_Проспект_Мира
Кольцевая_Белорусская,Кольцевая_Новослободская
Серпуховско-Тимирязевская_Менделеевская,Кольцевая_Новослободская
Кольцевая_Краснопресненская,Кольцевая_Белорусская
Кольцевая_Киевская,Кольцевая_Краснопресненская
Таганско-Краснопресненская_Баррикадная,Кольцевая_Краснопресненская
Кольцевая_Парк_культуры,Кольцевая_Киевская
Калужско-Рижская_Бабушкинская,Калужско-Рижская_Медведково
Калужско-Рижская_Свиблово,Калужско-Рижская_Бабушкинская
Калужско-Рижская_Ботанический_сад,Калужско-Рижская_Свиблово
Калужско-Рижская_ВДНХ,Калужско-Рижская_Ботанический_сад
Калужско-Рижская_Алексеевская,Калужско-Рижская_ВДНХ
Калужско-Рижская_Рижская,Калужско-Рижская_Алексеевская
Калужско-Рижская_Проспект_Мира,Калужско-Рижская_Рижская
Калужско-Рижская_Сухаревская,Калужско-Рижская_Проспект_Мира
Калужско-Рижская_Тургеневская,Калужско-Рижская_Сухаревская
Калужско-Рижская_Китай-город,Калужско-Рижская_Тургеневская
Люблинская_Сретенский_бульвар,Калужско-Рижская_Тургеневская
Калужско-Рижская_Третьяковская,Калужско-Рижская_Китай-город
Таганско-Краснопресненская_Китай-город,Калужско-Рижская_Китай-город
Калужско-Рижская_Октябрьская,Калужско-Рижская_Третьяковская
Калининская_Третьяковская,Калужско-Рижская_Третьяковская
Калужско-Рижская_Шаболовская,Калужско-Рижская_Октябрьская
Калужско-Рижская_Ленинский_проспект,Калужско-Рижская_Шаболовская
Калужско-Рижская_Академическая,Калужско-Рижская_Ленинский_проспект
Калужско-Рижская_Профсоюзная,Калужско-Рижская_Академическая
Калужско-Рижская_Новые_Черёмушки,Калужско-Рижская_Профсоюзная
Калужско-Рижская_Калужская,Калужско-Рижская_Новые_Черёмушки
Калужско-Рижская_Беляево,Калужско-Рижская_Калужская
Калужско-Рижская_Коньково,Калужско-Рижская_Беляево
Калужско-Рижская_Теплый_Стан,Калужско-Рижская_Коньково
Калужско-Рижская_Ясенево,Калужско-Рижская_Теплый_Стан
Калужско-Рижская_Новоясеневская,Калужско-Рижская_Ясенево
Бутовская_Битцевский_парк,Калужско-Рижская_Новоясеневская
Таганско-Краснопресненская_Сходненская,Таганско-Краснопресненская_Планерная
Таганско-Краснопресненская_Тушинская,Таганско-Краснопресненская_Сходненская
Таганско-Краснопресненская_Спартак,Таганско-Краснопресненская_Тушинская
Таганско-Краснопресненская_Щукинская,Таганско-Краснопресненская_Спартак
Таганско-Краснопресненская_Октябрьское_поле,Таганско-Краснопресненская_Щукинская
Таганско-Краснопресненская_Полежаевская,Таганско-Краснопресненская_Октябрьское_поле
Таганско-Краснопресненская_Беговая,Таганско-Краснопресненская_Полежаевская
Таганско-Краснопресненская_Улица_1905_года,Таганско-Краснопресненская_Беговая
Таганско-Краснопресненская_Баррикадная,Таганско-Краснопресненская_Улица_1905_года
Таганско-Краснопресненская_Пушкинская,Таганско-Краснопресненская_Баррикадная
Таганско-Краснопресненская_Кузнецкий_мост,Таганско-Краснопресненская_Пушкинская
Серпуховско-Тимирязевская_Чеховская,Таганско-Краснопресненская_Пушкинская
Таганско-Краснопресненская_Китай-город,Таганско-Краснопресненская_Кузнецкий_мост
Таганско-Краснопресненская_Таганская,Таганско-Краснопресненская_Китай-город
Таганско-Краснопресненская_Пролетарская,Таганско-Краснопресненская_Таганская
Калининская_Марксистская,Таганско-Краснопресненская_Таганская
Таганско-Краснопресненская_Волгоградский_проспект,Таганско-Краснопресненская_Пролетарская
Люблинская_Крестьянская_застава,Таганско-Краснопресненская_Пролетарская
Таганско-Краснопресненская_Текстильщики,Таганско-Краснопресненская_Волгоградский_проспект
Таганско-Краснопресненская_Кузьминки,Таганско-Краснопресненская_Текстильщики
Таганско-Краснопресненская_Рязанский_проспект,Таганско-Краснопресненская_Кузьминки
Таганско-Краснопресненская_Выхино,Таганско-Краснопресненская_Рязанский_проспект
Таганско-Краснопресненская_Лермонтовский_проспект,Таганско-Краснопресненская_Выхино
Калининская_Перово,Калининская_Новогиреево
Калининская_Новогиреево,Калининская_Новокосино
Калининская_Шоссе_Энтузиастов,Калининская_Перово
Калининская_Авиамоторная,Калининская_Шоссе_Энтузиастов
Калининская_Площадь_Ильича,Калининская_Авиамоторная
Калининская_Марксистская,Калининская_Площадь_Ильича
Люблинская_Римская,Калининская_Площадь_Ильича
Калининская_Третьяковская,Калининская_Марксистская
Серпуховско-Тимирязевская_Бибирево,Серпуховско-Тимирязевская_Алтуфьево
Серпуховско-Тимирязевская_Отрадное,Серпуховско-Тимирязевская_Бибирево
Серпуховско-Тимирязевская_Владыкино,Серпуховско-Тимирязевская_Отрадное
Серпуховско-Тимирязевская_Петровско-Разумовская,Серпуховско-Тимирязевская_Владыкино
Серпуховско-Тимирязевская_Тимирязевская,Серпуховско-Тимирязевская_Петровско-Разумовская
Серпуховско-Тимирязевская_Дмитровская,Серпуховско-Тимирязевская_Тимирязевская
Серпуховско-Тимирязевская_Савёловская,Серпуховско-Тимирязевская_Дмитровская
Серпуховско-Тимирязевская_Менделеевская,Серпуховско-Тимирязевская_Савёловская
Серпуховско-Тимирязевская_Цветной_бульвар,Серпуховско-Тимирязевская_Менделеевская
Серпуховско-Тимирязевская_Чеховская,Серпуховско-Тимирязевская_Цветной_бульвар
Люблинская_Трубная,Серпуховско-Тимирязевская_Цветной_бульвар
Серпуховско-Тимирязевская_Боровицкая,Серпуховско-Тимирязевская_Чеховская
Серпуховско-Тимирязевская_Полянка,Серпуховско-Тимирязевская_Боровицкая
Серпуховско-Тимирязевская_Серпуховская,Серпуховско-Тимирязевская_Полянка
Серпуховско-Тимирязевская_Тульская,Серпуховско-Тимирязевская_Серпуховская
Серпуховско-Тимирязевская_Нагатинская,Серпуховско-Тимирязевская_Тульская
Серпуховско-Тимирязевская_Нагорная,Серпуховско-Тимирязевская_Нагатинская
Серпуховско-Тимирязевская_Нахимовский_проспект,Серпуховско-Тимирязевская_Нагорная
Серпуховско-Тимирязевская_Севастопольская,Серпуховско-Тимирязевская_Нахимовский_проспект
Серпуховско-Тимирязевская_Чертановская,Серпуховско-Тимирязевская_Севастопольская
Каховская_Каховская,Серпуховско-Тимирязевская_Севастопольская
Серпуховско-Тимирязевская_Южная,Серпуховско-Тимирязевская_Чертановская
Серпуховско-Тимирязевская_Пражская,Серпуховско-Тимирязевская_Южная
Серпуховско-Тимирязевская_Улица_Академика_Янгеля,Серпуховско-Тимирязевская_Пражская
Серпуховско-Тимирязевская_Аннино,Серпуховско-Тимирязевская_Улица_Академика_Янгеля
Серпуховско-Тимирязевская_Бульвар_Дмитрия_Донского,Серпуховско-Тимирязевская_Аннино
Бутовская_Улица_Старокачаловская,Серпуховско-Тимирязевская_Бульвар_Дмитрия_Донского
Люблинская_Сретенский_бульвар,Люблинская_Трубная
Люблинская_Трубная,Люблинская_Достоевская
Люблинская_Чкаловская,Люблинская_Сретенский_бульвар
Люблинская_Римская,Люблинская_Чкаловская
Люблинская_Крестьянская_застава,Люблинская_Римская
Люблинская_Дубровка,Люблинская_Крестьянская_застава
Люблинская_Кожуховская,Люблинская_Дубровка
Люблинская_Печатники,Люблинская_Кожуховская
Люблинская_Волжская,Люблинская_Печатники
Люблинская_Люблино,Люблинская_Волжская
Люблинская_Братиславская,Люблинская_Люблино
Люблинская_Марьино,Люблинская_Братиславская
Люблинская_Борисово,Люблинская_Марьино
Каховская_Варшавская,Каховская_Каширская
Каховская_Каховская,Каховская_Варшавская
Бутовская_Улица_Скобелевская,Бутовская_Улица_Старокачаловская
Бутовская_Улица_Старокачаловская,Бутовская_Лесопарковая
Бутовская_Бульвар_Адмирала_Ушакова,Бутовская_Улица_Скобелевская
Бутовская_Улица_Горчакова,Бутовская_Бульвар_Адмирала_Ушакова
Бутовская_Бунинская_Аллея,Бутовская_Улица_Горчакова
Арбатско-Покровская_Волоколамская,Арбатско-Покровская_Мякинино
Арбатско-Покровская_Митино,Арбатско-Покровская_Волоколамская
Арбатско-Покровская_Пятницкое_шоссе,Арбатско-Покровская_Митино
Люблинская_Достоевская,Люблинская_Марьина_Роща
Люблинская_Шипиловская,Люблинская_Борисово
Люблинская_Зябликово,Люблинская_Шипиловская
Таганско-Краснопресненская_Жулебино,Таганско-Краснопресненская_Лермонтовский_проспект
Бутовская_Лесопарковая,Бутовская_Битцевский_парк
Калининская_Парк_Победы,Калининская_Деловой_центр
Сокольническая_Черкизовская,Сокольническая_Преображенская_площадь
Сокольническая_Преображенская_площадь,Сокольническая_Сокольники
Сокольническая_Сокольники,Сокольническая_Красносельская
Сокольническая_Красносельская,Сокольническая_Комсомольская
Сокольническая_Комсомольская,Сокольническая_Красные_ворота
Сокольническая_Комсомольская,Кольцевая_Комсомольская
Сокольническая_Красные_ворота,Сокольническая_Чистые_пруды
Сокольническая_Чистые_пруды,Сокольническая_Лубянка
Сокольническая_Чистые_пруды,Калужско-Рижская_Тургеневская
Сокольническая_Чистые_пруды,Люблинская_Сретенский_бульвар
Сокольническая_Лубянка,Сокольническая_Охотный_ряд
Сокольническая_Лубянка,Таганско-Краснопресненская_Кузнецкий_мост
Сокольническая_Охотный_ряд,Сокольническая_Библиотека_имени_Ленина
Сокольническая_Охотный_ряд,Замоскворецкая_Театральная
Сокольническая_Библиотека_имени_Ленина,Сокольническая_Кропоткинская
Сокольническая_Библиотека_имени_Ленина,Арбатско-Покровская_Арбатская
Сокольническая_Библиотека_имени_Ленина,Филевская_Александровский_сад
Сокольническая_Библиотека_имени_Ленина,Серпуховско-Тимирязевская_Боровицкая
Сокольническая_Кропоткинская,Сокольническая_Парк_культуры
Сокольническая_Парк_культуры,Сокольническая_Фрунзенская
Сокольническая_Парк_культуры,Кольцевая_Парк_культуры
Сокольническая_Фрунзенская,Сокольническая_Спортивная
Сокольническая_Спортивная,Сокольническая_Воробьёвы_горы
Сокольническая_Воробьёвы_горы,Сокольническая_Университет
Сокольническая_Университет,Сокольническая_Проспект_Вернадского
Сокольническая_Проспект_Вернадского,Сокольническая_Юго-Западная
Замоскворецкая_Речной_вокзал,Замоскворецкая_Водный_стадион
Замоскворецкая_Водный_стадион,Замоскворецкая_Войковская
Замоскворецкая_Войковская,Замоскворецкая_Сокол
Замоскворецкая_Сокол,Замоскворецкая_Аэропорт
Замоскворецкая_Аэропорт,Замоскворецкая_Динамо
Замоскворецкая_Динамо,Замоскворецкая_Белорусская
Замоскворецкая_Белорусская,Замоскворецкая_Маяковская
Замоскворецкая_Белорусская,Кольцевая_Белорусская
Замоскворецкая_Маяковская,Замоскворецкая_Тверская
Замоскворецкая_Тверская,Замоскворецкая_Театральная
Замоскворецкая_Тверская,Таганско-Краснопресненская_Пушкинская
Замоскворецкая_Тверская,Серпуховско-Тимирязевская_Чеховская
Замоскворецкая_Театральная,Замоскворецкая_Новокузнецкая
Замоскворецкая_Театральная,Арбатско-Покровская_Площадь_Революции
Замоскворецкая_Новокузнецкая,Замоскворецкая_Павелецкая
Замоскворецкая_Новокузнецкая,Калужско-Рижская_Третьяковская
Замоскворецкая_Новокузнецкая,Калининская_Третьяковская
Замоскворецкая_Павелецкая,Замоскворецкая_Автозаводская
Замоскворецкая_Павелецкая,Кольцевая_Павелецкая
Замоскворецкая_Автозаводская,Замоскворецкая_Коломенская
Замоскворецкая_Коломенская,Замоскворецкая_Каширская
Замоскворецкая_Каширская,Замоскворецкая_Кантемировская
Замоскворецкая_Каширская,Каховская_Каширская
Замоскворецкая_Кантемировская,Замоскворецкая_Царицыно
Замоскворецкая_Царицыно,Замоскворецкая_Орехово
Замоскворецкая_Орехово,Замоскворецкая_Домодедовская
Замоскворецкая_Домодедовская,Замоскворецкая_Красногвардейская
Замоскворецкая_Красногвардейская,Люблинская_Зябликово
Замоскворецкая_Красногвардейская,Замоскворецкая_Алма-Атинская
Арбатско-Покровская_Щёлковская,Арбатско-Покровская_Первомайская
Арбатско-Покровская_Первомайская,Арбатско-Покровская_Измайловская
Арбатско-Покровская_Измайловская,Арбатско-Покровская_Партизанская
Арбатско-Покровская_Партизанская,Арбатско-Покровская_Семёновская
Арбатско-Покровская_Семёновская,Арбатско-Покровская_Электрозаводская
Арбатско-Покровская_Электрозаводская,Арбатско-Покровская_Бауманская
Арбатско-Покровская_Бауманская,Арбатско-Покровская_Курская
Арбатско-Покровская_Курская,Арбатско-Покровская_Площадь_Революции
Арбатско-Покровская_Курская,Кольцевая_Курская
Арбатско-Покровская_Курская,Люблинская_Чкаловская
Арбатско-Покровская_Площадь_Революции,Арбатско-Покровская_Арбатская
Арбатско-Покровская_Арбатская,Арбатско-Покровская_Смоленская
Арбатско-Покровская_Арбатская,Филевская_Александровский_сад
Арбатско-Покровская_Арбатская,Серпуховско-Тимирязевская_Боровицкая
Арбатско-Покровская_Смоленская,Арбатско-Покровская_Киевская
Арбатско-Покровская_Киевская,Арбатско-Покровская_Парк_Победы
Арбатско-Покровская_Киевская,Филевская_Киевская
Арбатско-Покровская_Киевская,Кольцевая_Киевская
Арбатско-Покровская_Парк_Победы,Арбатско-Покровская_Славянский_бульвар
Арбатско-Покровская_Парк_Победы,Калининская_Парк_Победы
Арбатско-Покровская_Славянский_бульвар,Арбатско-Покровская_Кунцевская
Арбатско-Покровская_Кунцевская,Арбатско-Покровская_Молодёжная
Арбатско-Покровская_Кунцевская,Филевская_Кунцевская
Арбатско-Покровская_Молодёжная,Арбатско-Покровская_Крылатское
Арбатско-Покровская_Крылатское,Арбатско-Покровская_Строгино
Арбатско-Покровская_Строгино,Арбатско-Покровская_Мякинино
Филевская_Кунцевская,Филевская_Пионерская
Филевская_Пионерская,Филевская_Филёвский_парк
Филевская_Филёвский_парк,Филевская_Багратионовская
Филевская_Багратионовская,Филевская_Фили
Филевская_Фили,Филевская_Кутузовская
Филевская_Кутузовская,Филевская_Студенческая
Филевская_Студенческая,Филевская_Киевская
Филевская_Киевская,Филевская_Смоленская
Филевская_Киевская,Филевская_Выставочная
Филевская_Киевская,Кольцевая_Киевская
Филевская_Смоленская,Филевская_Арбатская
Филевская_Арбатская,Филевская_Александровский_сад
Филевская_Выставочная,Филевская_Международная
Филевская_Выставочная,Калининская_Деловой_центр
Кольцевая_Парк_культуры,Кольцевая_Октябрьская
Кольцевая_Октябрьская,Кольцевая_Добрынинская
Кольцевая_Октябрьская,Калужско-Рижская_Октябрьская
Кольцевая_Добрынинская,Кольцевая_Павелецкая
Кольцевая_Добрынинская,Серпуховско-Тимирязевская_Серпуховская
Кольцевая_Павелецкая,Кольцевая_Таганская
Кольцевая_Таганская,Кольцевая_Курская
Кольцевая_Таганская,Таганско-Краснопресненская_Таганская
Кольцевая_Таганская,Калининская_Марксистская
Кольцевая_Курская,Кольцевая_Комсомольская
Кольцевая_Курская,Люблинская_Чкаловская
Кольцевая_Комсомольская,Кольцевая_Проспект_Мира
Кольцевая_Проспект_Мира,Кольцевая_Новослободская
Кольцевая_Проспект_Мира,Калужско-Рижская_Проспект_Мира
Кольцевая_Новослободская,Кольцевая_Белорусская
Кольцевая_Новослободская,Серпуховско-Тимирязевская_Менделеевская
Кольцевая_Белорусская,Кольцевая_Краснопресненская
Кольцевая_Краснопресненская,Кольцевая_Киевская
Кольцевая_Краснопресненская,Таганско-Краснопресненская_Баррикадная
Кольцевая_Киевская,Кольцевая_Парк_культуры
Калужско-Рижская_Медведково,Калужско-Рижская_Бабушкинская
Калужско-Рижская_Бабушкинская,Калужско-Рижская_Свиблово
Калужско-Рижская_Свиблово,Калужско-Рижская_Ботанический_сад
Калужско-Рижская_Ботанический_сад,Калужско-Рижская_ВДНХ
Калужско-Рижская_ВДНХ,Калужско-Рижская_Алексеевская
Калужско-Рижская_Алексеевская,Калужско-Рижская_Рижская
Калужско-Рижская_Рижская,Калужско-Рижская_Проспект_Мира
Калужско-Рижская_Проспект_Мира,Калужско-Рижская_Сухаревская
Калужско-Рижская_Сухаревская,Калужско-Рижская_Тургеневская
Калужско-Рижская_Тургеневская,Калужско-Рижская_Китай-город
Калужско-Рижская_Тургеневская,Люблинская_Сретенский_бульвар
Калужско-Рижская_Китай-город,Калужско-Рижская_Третьяковская
Калужско-Рижская_Китай-город,Таганско-Краснопресненская_Китай-город
Калужско-Рижская_Третьяковская,Калужско-Рижская_Октябрьская
Калужско-Рижская_Третьяковская,Калининская_Третьяковская
Калужско-Рижская_Октябрьская,Калужско-Рижская_Шаболовская
Калужско-Рижская_Шаболовская,Калужско-Рижская_Ленинский_проспект
Калужско-Рижская_Ленинский_проспект,Калужско-Рижская_Академическая
Калужско-Рижская_Академическая,Калужско-Рижская_Профсоюзная
Калужско-Рижская_Профсоюзная,Калужско-Рижская_Новые_Черёмушки
Калужско-Рижская_Новые_Черёмушки,Калужско-Рижская_Калужская
Калужско-Рижская_Калужская,Калужско-Рижская_Беляево
Калужско-Рижская_Беляево,Калужско-Рижская_Коньково
Калужско-Рижская_Коньково,Калужско-Рижская_Теплый_Стан
Калужско-Рижская_Теплый_Стан,Калужско-Рижская_Ясенево
Калужско-Рижская_Ясенево,Калужско-Рижская_Новоясеневская
Калужско-Рижская_Новоясеневская,Бутовская_Битцевский_парк
Таганско-Краснопресненская_Планерная,Таганско-Краснопресненская_Сходненская
Таганско-Краснопресненская_Сходненская,Таганско-Краснопресненская_Тушинская
Таганско-Краснопресненская_Тушинская,Таганско-Краснопресненская_Спартак
Таганско-Краснопресненская_Спартак,Таганско-Краснопресненская_Щукинская
Таганско-Краснопресненская_Щукинская,Таганско-Краснопресненская_Октябрьское_поле
Таганско-Краснопресненская_Октябрьское_поле,Таганско-Краснопресненская_Полежаевская
Таганско-Краснопресненская_Полежаевская,Таганско-Краснопресненская_Беговая
Таганско-Краснопресненская_Беговая,Таганско-Краснопресненская_Улица_1905_года
Таганско-Краснопресненская_Улица_1905_года,Таганско-Краснопресненская_Баррикадная
Таганско-Краснопресненская_Баррикадная,Таганско-Краснопресненская_Пушкинская
Таганско-Краснопресненская_Пушкинская,Таганско-Краснопресненская_Кузнецкий_мост
Таганско-Краснопресненская_Пушкинская,Серпуховско-Тимирязевская_Чеховская
Таганско-Краснопресненская_Кузнецкий_мост,Таганско-Краснопресненская_Китай-город
Таганско-Краснопресненская_Китай-город,Таганско-Краснопресненская_Таганская
Таганско-Краснопресненская_Таганская,Таганско-Краснопресненская_Пролетарская
Таганско-Краснопресненская_Таганская,Калининская_Марксистская
Таганско-Краснопресненская_Пролетарская,Таганско-Краснопресненская_Волгоградский_проспект
Таганско-Краснопресненская_Пролетарская,Люблинская_Крестьянская_застава
Таганско-Краснопресненская_Волгоградский_проспект,Таганско-Краснопресненская_Текстильщики
Таганско-Краснопресненская_Текстильщики,Таганско-Краснопресненская_Кузьминки
Таганско-Краснопресненская_Кузьминки,Таганско-Краснопресненская_Рязанский_проспект
Таганско-Краснопресненская_Рязанский_проспект,Таганско-Краснопресненская_Выхино
Таганско-Краснопресненская_Выхино,Таганско-Краснопресненская_Лермонтовский_проспект
Калининская_Новогиреево,Калининская_Перово
Калининская_Новокосино,Калининская_Новогиреево
Калининская_Перово,Калининская_Шоссе_Энтузиастов
Калининская_Шоссе_Энтузиастов,Калининская_Авиамоторная
Калининская_Авиамоторная,Калининская_Площадь_Ильича
Калининская_Площадь_Ильича,Калининская_Марксистская
Калининская_Площадь_Ильича,Люблинская_Римская
Калининская_Марксистская,Калининская_Третьяковская
Серпуховско-Тимирязевская_Алтуфьево,Серпуховско-Тимирязевская_Бибирево
Серпуховско-Тимирязевская_Бибирево,Серпуховско-Тимирязевская_Отрадное
Серпуховско-Тимирязевская_Отрадное,Серпуховско-Тимирязевская_Владыкино
Серпуховско-Тимирязевская_Владыкино,Серпуховско-Тимирязевская_Петровско-Разумовская
Серпуховско-Тимирязевская_Петровско-Разумовская,Серпуховско-Тимирязевская_Тимирязевская
Серпуховско-Тимирязевская_Тимирязевская,Серпуховско-Тимирязевская_Дмитровская
Серпуховско-Тимирязевская_Дмитровская,Серпуховско-Тимирязевская_Савёловская
Серпуховско-Тимирязевская_Савёловская,Серпуховско-Тимирязевская_Менделеевская
Серпуховско-Тимирязевская_Менделеевская,Серпуховско-Тимирязевская_Цветной_бульвар
Серпуховско-Тимирязевская_Цветной_бульвар,Серпуховско-Тимирязевская_Чеховская
Серпуховско-Тимирязевская_Цветной_бульвар,Люблинская_Трубная
Серпуховско-Тимирязевская_Чеховская,Серпуховско-Тимирязевская_Боровицкая
Серпуховско-Тимирязевская_Боровицкая,Серпуховско-Тимирязевская_Полянка
Серпуховско-Тимирязевская_Полянка,Серпуховско-Тимирязевская_Серпуховская
Серпуховско-Тимирязевская_Серпуховская,Серпуховско-Тимирязевская_Тульская
Серпуховско-Тимирязевская_Тульская,Серпуховско-Тимирязевская_Нагатинская
Серпуховско-Тимирязевская_Нагатинская,Серпуховско-Тимирязевская_Нагорная
Серпуховско-Тимирязевская_Нагорная,Серпуховско-Тимирязевская_Нахимовский_проспект
Серпуховско-Тимирязевская_Нахимовский_проспект,Серпуховско-Тимирязевская_Севастопольская
Серпуховско-Тимирязевская_Севастопольская,Серпуховско-Тимирязевская_Чертановская
Серпуховско-Тимирязевская_Севастопольская,Каховская_Каховская
Серпуховско-Тимирязевская_Чертановская,Серпуховско-Тимирязевская_Южная
